"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
91 - Eduardo Barrichello - Stock Car PRO 2024
"15:55:11.861","13","13","1:28.044","156,808","0,0","32.732","0,0","37.032","0,0","18.280","247,7","0.436"
"15:56:40.109","14","14","1:28.248","156,445","0,0","32.796","0,0","37.140","0,0","18.312","246,6","0.438"
"15:58:08.381","15","15","1:28.272","156,403","0,0","32.781","0,0","37.149","0,0","18.342","246,6","0.438"
"15:59:36.814","16","16","1:28.433","156,118","0,0","32.870","0,0","37.146","0,0","18.417","246,6","0.438"
"16:01:05.445","17","17","1:28.631","155,769","0,0","32.863","0,0","37.280","0,0","18.488","246,6","0.438"
"16:02:34.109","18","18","1:28.664","155,711","0,0","32.882","0,0","37.283","0,0","18.499","246,6","0.438"
"16:04:02.814","19","19","1:28.705","155,639","0,0","33.035","0,0","37.280","0,0","18.390","245,5","0.440"
"16:05:31.419","20","20","1:28.605","155,815","0,0","32.984","0,0","37.246","0,0","18.375","246,0","0.439"
"16:07:00.345","21","21","1:28.926","155,253","0,0","33.043","0,0","37.444","0,0","18.439","246,6","0.438"
29 - Daniel Serra - Stock Car PRO 2024
"15:36:56.315","1","1","1:33.048","148,375","0,0","35.461","0,0","38.924","0,0","18.663","211,4","0.511"
"15:38:25.443","2","2","1:29.128","154,901","0,0","33.260","0,0","37.756","0,0","18.112","244,3","0.442"
"15:39:54.893","3","3","1:29.450","154,343","0,0","33.262","0,0","38.103","0,0","18.085","251,7","0.429"
"15:41:23.569","4","4","1:28.676","155,690","0,0","32.799","0,0","37.856","0,0","18.021","254,7","0.424"
"15:42:52.588","5","5","1:29.019","155,090","0,0","33.029","0,0","37.971","0,0","18.019","254,7","0.424"
"15:44:21.463","6","6","1:28.875","155,342","0,0","33.203","0,0","37.708","0,0","17.964","233,8","0.462"
"15:46:22.826","7","7","2:01.363","113,758","0,0","32.560","0,0","37.633","","","252,3","0.428"
"15:47:58.010","8","8","1:35.184","145,045","","","0,0","37.270","0,0","17.802","189,1","0.571"
"15:49:25.412","9","9","1:27.402","157,960","0,0","32.405","0,0","37.206","0,0","17.791","248,3","0.435"
"15:50:52.803","10","10","1:27.391","157,980","0,0","32.473","0,0","37.105","0,0","17.813","248,8","0.434"
"15:52:20.231","11","11","1:27.428","157,913","0,0","32.431","0,0","37.158","0,0","17.839","250,6","0.431"
"15:53:48.098","12","12","1:27.867","157,124","0,0","32.352","0,0","37.206","0,0","18.309","252,9","0.427"
"15:55:15.634","13","13","1:27.536","157,718","0,0","32.546","0,0","37.187","0,0","17.803","246,6","0.438"
"15:56:43.562","14","14","1:27.928","157,015","0,0","32.489","0,0","37.153","0,0","18.286","250,0","0.432"
"15:58:11.683","15","15","1:28.121","156,671","0,0","32.768","0,0","37.107","0,0","18.246","244,9","0.441"
"15:59:39.915","16","16","1:28.232","156,474","0,0","32.729","0,0","37.232","0,0","18.271","244,9","0.441"
"16:01:08.220","17","17","1:28.305","156,344","0,0","32.783","0,0","37.183","0,0","18.339","244,3","0.442"
"16:02:36.692","18","18","1:28.472","156,049","0,0","32.782","0,0","37.360","0,0","18.330","245,5","0.440"
