"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
29 - Daniel Serra - Stock Car PRO 2024
"14:47:13.119","9","3:08.875","73,096","0,0","33.457","0,0","38.301","","","248,3","0.435"
"14:48:57.953","10","1:44.834","131,694","","","0,0","39.634","0,0","19.693","177,9","0.607"
"14:50:29.528","11","1:31.575","150,762","0,0","34.795","0,0","38.062","0,0","18.718","208,5","0.518"
"14:51:56.479","12","1:26.951","158,779","0,0","32.403","0,0","36.494","0,0","18.054","247,7","0.436"
"14:53:23.320","13","1:26.841","158,980","0,0","32.356","0,0","36.441","0,0","18.044","248,8","0.434"
83 - Gabriel Casagrande - Stock Car PRO 2024
"15:02:05.931","1","1:47.957","127,884","","","0,0","41.878","0,0","19.546","184,6","0.585"
"15:03:40.579","2","1:34.648","145,867","0,0","37.338","0,0","38.223","0,0","19.087","175,6","0.615"
"15:05:10.349","3","1:29.770","153,793","0,0","33.676","0,0","37.503","0,0","18.591","246,0","0.439"
"15:08:02.864","4","2:52.515","80,028","0,0","34.192","0,0","39.570","","","244,9","0.441"
"15:09:43.454","5","1:40.590","137,250","","","0,0","38.161","0,0","19.671","189,8","0.569"
"15:13:18.552","6","3:35.098","64,185","0,0","42.536","0,0","46.453","","","156,1","0.692"
"15:14:55.969","7","1:37.417","141,721","","","0,0","37.447","0,0","18.539","186,9","0.578"
"15:16:24.573","8","1:28.604","155,817","0,0","33.084","0,0","37.128","0,0","18.392","246,6","0.438"
"15:20:55.311","9","4:30.738","50,994","0,0","32.971","0,0","37.328","","","247,1","0.437"
"15:22:47.138","10","1:51.827","123,459","","","0,0","43.895","0,0","19.334","175,6","0.615"
"15:24:21.503","11","1:34.365","146,304","0,0","35.256","0,0","39.764","0,0","19.345","237,4","0.455"
"15:25:51.826","12","1:30.323","152,851","0,0","33.684","0,0","38.224","0,0","18.415","244,9","0.441"
"15:31:50.143","13","5:58.317","38,530","0,0","32.297","0,0","37.339","","","246,6","0.438"
"15:33:33.778","14","1:43.635","133,218","","","0,0","41.513","0,0","18.872","160,0","0.675"
"15:35:00.655","15","1:26.877","158,914","0,0","32.330","0,0","36.476","0,0","18.071","247,7","0.436"
81 - Arthur Leist - Stock Car PRO 2024
"14:27:17.908","1","1:46.667","129,431","","","0,0","41.160","0,0","20.209","155,2","0.696"
"14:28:59.422","2","1:41.514","136,001","0,0","37.435","0,0","43.058","0,0","21.021","215,1","0.502"
"14:30:35.008","3","1:35.586","144,435","0,0","37.237","0,0","39.265","0,0","19.084","195,7","0.552"
"14:32:06.090","4","1:31.082","151,578","0,0","33.863","0,0","38.134","0,0","19.085","242,7","0.445"
"14:33:40.177","5","1:34.087","146,737","0,0","35.402","0,0","39.890","0,0","18.795","221,8","0.487"
"14:35:09.137","6","1:28.960","155,193","0,0","33.055","0,0","37.520","0,0","18.385","243,8","0.443"
"14:39:00.215","7","3:51.078","59,746","0,0","33.004","0,0","37.523","","","246,0","0.439"
"14:40:42.372","8","1:42.157","135,145","","","0,0","39.244","0,0","18.984","184,9","0.584"
"14:42:14.928","9","1:32.556","149,164","0,0","34.080","0,0","39.822","0,0","18.654","243,2","0.444"
"14:43:43.636","10","1:28.708","155,634","0,0","33.111","0,0","37.289","0,0","18.308","244,9","0.441"
"14:45:11.809","11","1:28.173","156,579","0,0","32.916","0,0","36.975","0,0","18.282","245,5","0.440"
"14:48:57.917","12","3:46.108","61,059","0,0","32.863","0,0","37.420","","","244,9","0.441"
"14:50:39.977","13","1:42.060","135,273","","","0,0","38.910","0,0","18.899","183,4","0.589"
"14:52:10.881","14","1:30.904","151,875","0,0","34.192","0,0","38.382","0,0","18.330","241,1","0.448"
"14:53:38.211","15","1:27.330","158,090","0,0","32.586","0,0","36.628","0,0","18.116","244,3","0.442"
"14:55:05.095","16","1:26.884","158,902","0,0","32.426","0,0","36.321","0,0","18.137","245,5","0.440"
30 - Cesar Ramos - Stock Car PRO 2024
"14:27:09.677","1","1:50.608","124,819","","","0,0","42.550","0,0","20.626","134,7","0.802"
"14:28:41.362","2","1:31.685","150,581","0,0","35.236","0,0","37.827","0,0","18.622","219,1","0.493"
"14:30:10.563","3","1:29.201","154,774","0,0","33.103","0,0","37.700","0,0","18.398","245,5","0.440"
"14:31:39.369","4","1:28.806","155,462","0,0","33.134","0,0","37.345","0,0","18.327","246,0","0.439"
"14:35:45.493","5","4:06.124","56,094","0,0","34.172","0,0","39.829","","","246,6","0.438"
"14:37:28.106","6","1:42.613","134,544","","","0,0","39.751","0,0","18.970","172,5","0.626"
"14:39:01.263","7","1:33.157","148,201","0,0","33.558","0,0","41.248","0,0","18.351","238,9","0.452"
"14:40:29.653","8","1:28.390","156,194","0,0","32.901","0,0","37.100","0,0","18.389","247,7","0.436"
"14:44:44.177","9","4:14.524","54,242","0,0","33.796","0,0","38.049","","","246,6","0.438"
"14:46:19.763","10","1:35.586","144,435","","","0,0","37.110","0,0","18.246","190,8","0.566"
"14:48:41.759","11","2:21.996","97,228","0,0","33.048","0,0","36.902","","","246,0","0.439"
"14:50:22.785","12","1:41.026","136,658","","","0,0","39.523","0,0","19.460","179,1","0.603"
"14:51:54.851","13","1:32.066","149,958","0,0","35.656","0,0","38.222","0,0","18.188","206,5","0.523"
"14:53:22.155","14","1:27.304","158,137","0,0","32.626","0,0","36.592","0,0","18.086","246,0","0.439"
"14:54:49.064","15","1:26.909","158,856","0,0","32.487","0,0","36.450","0,0","17.972","247,1","0.437"
44 - Bruno Baptista - Stock Car PRO 2024
"15:03:59.671","1","1:44.928","131,576","","","0,0","39.272","0,0","19.109","137,2","0.787"
"15:05:34.659","2","1:34.988","145,345","0,0","35.201","0,0","41.227","0,0","18.560","232,8","0.464"
"15:07:03.785","3","1:29.126","154,904","0,0","33.130","0,0","37.615","0,0","18.381","244,9","0.441"
"15:08:32.568","4","1:28.783","155,503","0,0","33.086","0,0","37.320","0,0","18.377","245,5","0.440"
"15:15:38.682","5","7:06.114","32,400","0,0","34.288","0,0","37.961","","","244,9","0.441"
"15:17:20.639","6","1:41.957","135,410","","","0,0","39.497","0,0","18.878","186,9","0.578"
"15:18:55.105","7","1:34.466","146,148","0,0","34.805","0,0","41.134","0,0","18.527","234,3","0.461"
"15:20:23.037","8","1:27.932","157,008","0,0","32.762","0,0","36.964","0,0","18.206","246,0","0.439"
"15:24:17.196","9","3:54.159","58,960","0,0","32.808","0,0","36.948","","","246,6","0.438"
"15:26:00.693","10","1:43.497","133,395","","","0,0","39.951","0,0","18.775","137,8","0.784"
"15:31:57.208","11","5:56.515","38,725","0,0","33.650","0,0","51.686","","","241,1","0.448"
"15:33:38.813","12","1:41.605","135,879","","","0,0","39.459","0,0","18.677","185,2","0.583"
"15:35:05.735","13","1:26.922","158,832","0,0","32.391","0,0","36.531","0,0","18.000","247,7","0.436"
38 - Zezinho Muggiati - Stock Car PRO 2024
"15:02:11.900","1","1:47.308","128,658","","","0,0","41.926","0,0","20.801","157,9","0.684"
"15:03:49.111","2","1:37.211","142,021","0,0","36.404","0,0","42.011","0,0","18.796","200,0","0.540"
"15:05:17.565","3","1:28.454","156,081","0,0","32.983","0,0","37.167","0,0","18.304","248,3","0.435"
"15:06:45.767","4","1:28.202","156,527","0,0","32.868","0,0","37.035","0,0","18.299","248,8","0.434"
"15:13:41.587","5","6:55.820","33,202","0,0","32.799","0,0","37.404","","","248,8","0.434"
"15:15:24.704","6","1:43.117","133,887","","","0,0","39.494","0,0","18.632","184,6","0.585"
"15:16:53.587","7","1:28.883","155,328","0,0","33.299","0,0","37.184","0,0","18.400","248,8","0.434"
"15:18:23.827","8","1:30.240","152,992","0,0","32.931","0,0","38.788","0,0","18.521","248,8","0.434"
"15:19:53.469","9","1:29.642","154,013","0,0","33.985","0,0","37.154","0,0","18.503","248,3","0.435"
"15:23:27.925","10","3:34.456","64,377","0,0","32.923","0,0","37.646","","","248,8","0.434"
"15:25:17.809","11","1:49.884","125,642","","","0,0","42.913","0,0","20.546","161,2","0.670"
"15:32:26.420","12","7:08.611","32,211","0,0","40.385","0,0","47.116","","","186,9","0.578"
"15:34:07.342","13","1:40.922","136,799","","","0,0","39.484","0,0","18.904","188,8","0.572"
"15:35:34.282","14","1:26.940","158,799","0,0","32.318","0,0","36.639","0,0","17.983","248,3","0.435"
88 - Felipe Fraga - Stock Car PRO 2024
"15:02:05.631","1","1:53.794","121,324","","","0,0","40.212","0,0","20.225","170,9","0.632"
"15:03:38.356","2","1:32.725","148,892","0,0","34.628","0,0","39.402","0,0","18.695","234,8","0.460"
"15:05:07.032","3","1:28.676","155,690","0,0","33.108","0,0","37.207","0,0","18.361","244,3","0.442"
"15:06:40.254","4","1:33.222","148,098","0,0","32.938","0,0","41.777","0,0","18.507","243,8","0.443"
"15:08:11.918","5","1:31.664","150,615","0,0","32.828","0,0","39.914","0,0","18.922","245,5","0.440"
"15:09:40.082","6","1:28.164","156,595","0,0","32.830","0,0","37.034","0,0","18.300","245,5","0.440"
"15:14:17.107","7","4:37.025","49,837","0,0","32.690","0,0","36.987","","","244,9","0.441"
"15:15:53.594","8","1:36.487","143,087","","","0,0","37.442","0,0","18.407","189,5","0.570"
"15:17:31.619","9","1:38.025","140,842","0,0","32.913","0,0","46.533","0,0","18.579","246,0","0.439"
"15:21:29.209","10","3:57.590","58,109","0,0","32.776","0,0","37.277","","","246,6","0.438"
"15:23:18.955","11","1:49.746","125,800","","","0,0","41.574","0,0","19.560","165,9","0.651"
"15:24:48.097","12","1:29.142","154,876","0,0","33.698","0,0","37.283","0,0","18.161","231,8","0.466"
"15:26:15.081","13","1:26.984","158,719","0,0","32.391","0,0","36.563","0,0","18.030","244,9","0.441"
12 - Lucas Foresti - Stock Car PRO 2024
"14:27:15.889","1","1:50.838","124,560","","","0,0","42.638","0,0","20.847","183,7","0.588"
"14:28:57.956","2","1:42.067","135,264","0,0","38.269","0,0","43.125","0,0","20.673","237,9","0.454"
"14:30:30.459","3","1:32.503","149,249","0,0","35.505","0,0","38.518","0,0","18.480","233,8","0.462"
"14:31:59.114","4","1:28.655","155,727","0,0","33.082","0,0","37.275","0,0","18.298","245,5","0.440"
"14:33:27.576","5","1:28.462","156,067","0,0","32.894","0,0","37.318","0,0","18.250","246,0","0.439"
"14:34:57.938","6","1:30.362","152,785","0,0","32.606","0,0","39.381","0,0","18.375","247,7","0.436"
"14:36:26.107","7","1:28.169","156,586","0,0","32.809","0,0","37.148","0,0","18.212","248,3","0.435"
"14:37:54.321","8","1:28.214","156,506","0,0","32.725","0,0","37.207","0,0","18.282","248,3","0.435"
"14:42:28.620","9","4:34.299","50,332","0,0","33.626","0,0","39.212","","","248,8","0.434"
"14:44:09.066","10","1:40.446","137,447","","","0,0","38.327","0,0","18.623","183,4","0.589"
"14:45:37.545","11","1:28.479","156,037","0,0","32.904","0,0","37.241","0,0","18.334","247,1","0.437"
"14:49:03.859","12","3:26.314","66,917","0,0","32.784","0,0","37.259","","","247,1","0.437"
"14:50:55.138","13","1:51.279","124,067","","","0,0","42.694","0,0","20.912","173,6","0.622"
"14:52:36.352","14","1:41.214","136,404","0,0","40.751","0,0","40.398","0,0","20.065","177,3","0.609"
"14:54:09.240","15","1:32.888","148,631","0,0","35.206","0,0","39.306","0,0","18.376","239,5","0.451"
"14:55:36.228","16","1:26.988","158,712","0,0","32.338","0,0","36.564","0,0","18.086","246,0","0.439"
91 - Eduardo Barrichello - Stock Car PRO 2024
"14:29:12.245","1","3:19.285","69,278","","","0,0","38.835","","","164,9","0.655"
"14:30:55.333","2","1:43.088","133,924","","","0,0","38.460","0,0","18.717","188,8","0.572"
"14:32:23.940","3","1:28.607","155,812","0,0","33.015","0,0","37.314","0,0","18.278","247,1","0.437"
"14:33:52.476","4","1:28.536","155,937","0,0","33.022","0,0","37.193","0,0","18.321","247,1","0.437"
"14:35:20.462","5","1:27.986","156,911","0,0","32.681","0,0","37.061","0,0","18.244","248,8","0.434"
"14:36:48.256","6","1:27.794","157,254","0,0","32.606","0,0","36.993","0,0","18.195","249,4","0.433"
"14:38:20.581","7","1:32.325","149,537","0,0","35.150","0,0","38.635","0,0","18.540","191,5","0.564"
"14:39:48.629","8","1:28.048","156,801","0,0","32.617","0,0","37.189","0,0","18.242","249,4","0.433"
"14:43:58.409","9","4:09.780","55,273","0,0","33.752","0,0","38.354","","","251,7","0.429"
"14:45:41.922","10","1:43.513","133,375","","","0,0","41.058","0,0","20.546","191,8","0.563"
"14:49:33.720","11","3:51.798","59,560","0,0","32.979","0,0","37.399","","","248,8","0.434"
"14:51:15.064","12","1:41.344","136,229","","","0,0","38.889","0,0","18.772","188,8","0.572"
"14:52:44.106","13","1:29.042","155,050","0,0","33.621","0,0","37.160","0,0","18.261","243,8","0.443"
"14:54:11.286","14","1:27.180","158,362","0,0","32.553","0,0","36.592","0,0","18.035","247,7","0.436"
"14:55:38.331","15","1:27.045","158,608","0,0","32.500","0,0","36.492","0,0","18.053","246,0","0.439"
21 - Thiago Camilo - Stock Car PRO 2024
"15:02:15.320","1","1:44.545","132,058","","","0,0","40.538","0,0","19.411","185,2","0.583"
"15:03:47.227","2","1:31.907","150,217","0,0","35.158","0,0","38.213","0,0","18.536","221,3","0.488"
"15:05:16.366","3","1:29.139","154,882","0,0","33.179","0,0","37.551","0,0","18.409","247,1","0.437"
"15:06:48.035","4","1:31.669","150,607","0,0","32.900","0,0","38.755","0,0","20.014","246,6","0.438"
"15:08:16.789","5","1:28.754","155,554","0,0","32.914","0,0","37.474","0,0","18.366","247,7","0.436"
"15:12:27.304","6","4:10.515","55,110","0,0","32.980","0,0","40.166","","","247,1","0.437"
"15:14:09.015","7","1:41.711","135,738","","","0,0","39.596","0,0","19.211","189,8","0.569"
"15:15:40.221","8","1:31.206","151,372","0,0","34.732","0,0","38.077","0,0","18.397","232,8","0.464"
"15:17:08.725","9","1:28.504","155,993","0,0","32.891","0,0","37.357","0,0","18.256","247,1","0.437"
"15:21:05.789","10","3:57.064","58,237","0,0","34.455","0,0","41.590","","","248,3","0.435"
"15:22:44.122","11","1:38.333","140,400","","","0,0","38.089","0,0","18.396","190,8","0.566"
"15:25:41.207","12","2:57.085","77,963","0,0","32.768","0,0","37.210","","","247,7","0.436"
"15:31:48.182","13","6:06.975","37,621","","","0,0","46.010","","","186,5","0.579"
"15:33:26.262","14","1:38.080","140,763","","","0,0","38.013","0,0","18.324","182,1","0.593"
"15:34:53.313","15","1:27.051","158,597","0,0","32.377","0,0","36.636","0,0","18.038","247,1","0.437"
"15:36:30.999","16","1:37.686","141,330","0,0","35.583","0,0","43.762","0,0","18.341","248,3","0.435"
11 - Gaetano Di Mauro - Stock Car PRO 2024
"14:28:01.371","1","1:42.244","135,030","","","0,0","39.415","0,0","18.866","185,2","0.583"
"14:29:33.150","2","1:31.779","150,427","0,0","34.079","0,0","38.972","0,0","18.728","236,8","0.456"
"14:31:01.518","3","1:28.368","156,233","0,0","32.927","0,0","37.144","0,0","18.297","244,9","0.441"
"14:34:20.902","4","3:19.384","69,243","0,0","32.850","0,0","37.083","","","246,0","0.439"
"14:36:01.794","5","1:40.892","136,839","","","0,0","40.461","0,0","18.443","175,3","0.616"
"14:37:29.838","6","1:28.044","156,808","0,0","32.747","0,0","37.013","0,0","18.284","247,1","0.437"
"14:38:57.655","7","1:27.817","157,213","0,0","32.635","0,0","36.987","0,0","18.195","247,1","0.437"
"14:42:41.267","8","3:43.612","61,741","0,0","32.641","0,0","37.002","","","248,8","0.434"
"14:44:21.086","9","1:39.819","138,310","","","0,0","39.272","0,0","18.832","192,9","0.560"
"14:45:49.317","10","1:28.231","156,476","0,0","32.878","0,0","37.036","0,0","18.317","247,7","0.436"
"14:49:54.565","11","4:05.248","56,294","0,0","32.677","0,0","37.057","","","247,7","0.436"
"14:51:34.004","12","1:39.439","138,839","","","0,0","38.480","0,0","18.615","187,8","0.575"
"14:53:04.696","13","1:30.692","152,230","0,0","34.088","0,0","37.908","0,0","18.696","240,0","0.450"
"14:54:31.823","14","1:27.127","158,458","0,0","32.493","0,0","36.578","0,0","18.056","247,1","0.437"
"14:55:58.956","15","1:27.133","158,447","0,0","32.310","0,0","36.713","0,0","18.110","248,3","0.435"
101 - Gianluca Petecof - Stock Car PRO 2024
"15:02:33.597","1","1:50.365","125,094","","","0,0","42.667","0,0","21.255","175,3","0.616"
"15:04:07.309","2","1:33.712","147,324","0,0","36.526","0,0","38.497","0,0","18.689","205,3","0.526"
"15:05:40.031","3","1:32.722","148,897","0,0","35.264","0,0","38.773","0,0","18.685","201,9","0.535"
